SampleFile,BestN,BIC_1,BIC_2,BIC_3,BIC_4,BIC_5,count
H04_RD14-0003-40_41_42_43-1;1;1;1-M2S10-0.252IP-Q1.3_004.5sec.fsa,3,1718.4944469579934,1519.807093080947,1351.2442135036654,1358.926309155055,1352.3524262030423,4
B01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.5IP-Q0.9_002.5sec.fsa,3,1955.3770449170775,1675.0085649607588,1661.8915194647886,1672.581477106163,1687.1612311441559,4
B02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.5IP-Q3.2_002.5sec.fsa,4,1874.9220683122317,1445.6043647256427,1415.7650316218692,1390.1169282686387,1396.5656001683762,4
C01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.252IP-Q0.9_003.5sec.fsa,3,1720.5815060576147,1468.8634498113881,1435.6599973884122,1448.831610631784,1457.619972014429,4
C02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.252IP-Q3.2_003.5sec.fsa,3,1527.6359921057724,1201.1118304288668,1169.8342196231904,1179.4050580883184,1174.1380629523542,4
D01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.124IP-Q0.9_004.5sec.fsa,3,1770.3749927261124,1483.3478374619667,1459.932765463742,1468.9511194684608,1461.9571737979402,4
D02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.124IP-Q3.2_004.5sec.fsa,4,1573.011261378275,1229.1902987549165,1218.9611101383293,1207.7816423662869,1214.7208527455377,4
E01_RD14-0003-40_41_42_43-1;1;1;1-M4a-0.06IP-Q0.7_001.5sec.fsa,4,1503.7257562925195,1227.0710626165774,1203.1509535943237,1198.6088876795304,1208.683731046872,4
E02_RD14-0003-40_41_42_43-1;1;1;1-M4e-0.06IP-Q5.6_001.5sec.fsa,4,1042.3832879603908,866.443656584406,850.5198127028901,846.8281609910922,854.2299353163799,4
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,5,1558.6885853790973,1238.5080599982143,1198.078137392041,1189.8009367821644,1185.084710042066,5
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.155IP-Q2.9_002.5sec.fsa,3,1437.314757826268,1101.6075298842084,1065.8424833517656,1068.694095854363,1073.1738605935504,5
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.075IP-Q2.9_003.5sec.fsa,3,1035.5435295565342,856.6799188110131,843.1841977386191,852.6884712932217,862.2511983287184,5
H05_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.625IP-Q2.4_004.5sec.fsa,5,1754.3717705576312,1402.1750865072718,1362.0789072959108,1372.7157071994473,1354.3297805426007,5
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,3,1141.6386557830224,908.6615305878922,876.9858593329841,882.9880271189708,888.5257642197156,5
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.625IP-Q0.7_002.5sec.fsa,3,1974.5189779711982,1715.1797839467413,1703.7070346406408,1705.1996964473558,1718.9103144773585,5
B07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.625IP-Q1.9_002.5sec.fsa,4,1887.941547725108,1546.4045093057766,1492.3246526178195,1483.8791547256128,1492.0232526645968,5
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.315IP-Q0.7_003.5sec.fsa,4,1838.9629162590322,1564.0535336198902,1547.4632490545414,1542.4682085818386,1556.1524617939938,5
C07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.315IP-Q1.9_003.5sec.fsa,4,1601.5361897617072,1341.5495638002437,1309.482459022272,1281.9393522327168,1295.638577756214,5
